# response_time_millis / parameter_type_double[]_count
"parameter_type_double[]_count" "J > C" "J > J" "C > J" "C > C"
1 206 33 143 5
2 132 32 173 5
3 160 33 157 5
4 195 33 162 5
5 211 32 180 5
6 234 34 194 6
7 260 33 191 6
8 285 33 196 6
9 315 36 207 7
10 337 35 209 6
11 364 38 217 11
12 401 39 216 7
13 423 40 227 8
14 440 40 239 8
15 485 40 232 7
16 501 42 255 8
17 530 42 251 9
18 551 45 252 9
19 574 42 271 8
20 597 43 270 8
